Checking_Status,Duration_Months,Credit_History,Purpose,Credit_Amount,Savings_Status,Employment_Since,Installment_Rate,Personal_Status_Sex,Other_Debtors_Guarantors,Residence_Since,Property,Age,Other_Installment_Plans,Housing,Existing_Credits,Job,Dependents,Telephone,Foreign_Worker
A14,6,A34,A43,1200,A65,A75,1,A93,A101,4,A121,23,A143,A152,1,A173,1,A191,A202
A11,48,A31,A40,8500,A61,A71,4,A92,A101,4,A124,61,A142,A152,2,A173,1,A191,A201
A13,18,A34,A42,3200,A64,A74,2,A93,A101,3,A123,42,A141,A152,1,A172,1,A192,A201
A12,60,A30,A46,9200,A65,A72,4,A91,A103,1,A122,30,A142,A153,3,A174,2,A192,A201
A11,12,A32,A49,2100,A61,A73,3,A92,A101,2,A121,27,A143,A152,1,A172,1,A191,A202
A13,36,A33,A43,6100,A62,A74,4,A93,A101,4,A124,47,A143,A151,4,A173,2,A191,A201
A12,24,A32,A44,4100,A63,A73,2,A92,A102,3,A123,38,A142,A152,2,A172,3,A192,A201
A14,9,A33,A41,1450,A64,A75,1,A93,A101,4,A121,68,A141,A151,1,A172,1,A191,A201
A11,30,A31,A40,5600,A65,A72,3,A91,A103,2,A122,25,A142,A153,2,A174,1,A192,A201
A13,36,A33,A43,6100,A62,A74,4,A93,A101,4,A124,47,A143,A151,4,A173,2,A191,A202
