threshold,TP,FP,FN,TN,precision_default,recall_default,cost_weighted_f1,total_cost,cost_per_applicant,approval_rate
0.05,230,429,10,131,0.349,0.9583,0.4899,479.0,0.5988,0.1762
0.06,228,401,12,159,0.3625,0.95,0.4973,461.0,0.5763,0.2137
0.07,226,369,14,191,0.3798,0.9417,0.5073,439.0,0.5487,0.2562
0.08,221,349,19,211,0.3877,0.9208,0.4989,444.0,0.555,0.2875
0.09,220,338,20,222,0.3943,0.9167,0.5011,438.0,0.5475,0.3025
0.1,218,326,22,234,0.4007,0.9083,0.5,436.0,0.545,0.32
0.11,213,306,27,254,0.4104,0.8875,0.4913,441.0,0.5513,0.3513
0.12,211,293,29,267,0.4187,0.8792,0.4907,438.0,0.5475,0.37
0.13,210,283,30,277,0.426,0.875,0.4924,433.0,0.5413,0.3837
0.14,207,278,33,282,0.4268,0.8625,0.4831,443.0,0.5537,0.3937
0.15,205,267,35,293,0.4343,0.8542,0.4812,442.0,0.5525,0.41
0.16,202,259,38,301,0.4382,0.8417,0.4736,449.0,0.5613,0.4238
0.17,199,244,41,316,0.4492,0.8292,0.4699,449.0,0.5613,0.4462
0.18,197,234,43,326,0.4571,0.8208,0.4674,449.0,0.5613,0.4612
0.19,190,225,50,335,0.4578,0.7917,0.4444,475.0,0.5938,0.4813
0.2,187,218,53,342,0.4617,0.7792,0.4364,483.0,0.6038,0.4938
0.21,182,206,58,354,0.4691,0.7583,0.4233,496.0,0.62,0.515
0.22,179,200,61,360,0.4723,0.7458,0.4148,505.0,0.6312,0.5262
0.23,177,187,63,373,0.4863,0.7375,0.4136,502.0,0.6275,0.545
0.24,174,183,66,377,0.4874,0.725,0.4042,513.0,0.6412,0.5537
0.25,171,176,69,384,0.4928,0.7125,0.3963,521.0,0.6512,0.5663
0.26,169,167,71,393,0.503,0.7042,0.393,522.0,0.6525,0.58
0.27,167,160,73,400,0.5107,0.6958,0.3888,525.0,0.6562,0.5913
0.28,164,158,76,402,0.5093,0.6833,0.3788,538.0,0.6725,0.5975
0.29,163,152,77,408,0.5175,0.6792,0.3778,537.0,0.6713,0.6062
0.3,160,143,80,417,0.5281,0.6667,0.3708,543.0,0.6787,0.6212
0.31,154,138,86,422,0.5274,0.6417,0.3516,568.0,0.71,0.635
0.32,152,129,88,431,0.5409,0.6333,0.3482,569.0,0.7113,0.6488
0.33,150,124,90,436,0.5474,0.625,0.3432,574.0,0.7175,0.6575
0.34,149,121,91,439,0.5519,0.6208,0.341,576.0,0.72,0.6625
0.35,148,114,92,446,0.5649,0.6167,0.3402,574.0,0.7175,0.6725
0.36,147,108,93,452,0.5765,0.6125,0.3391,573.0,0.7163,0.6813
0.37,140,103,100,457,0.5761,0.5833,0.3171,603.0,0.7538,0.6963
0.38,138,102,102,458,0.575,0.575,0.3108,612.0,0.765,0.7
0.39,135,97,105,463,0.5819,0.5625,0.3027,622.0,0.7775,0.71
0.4,133,93,107,467,0.5885,0.5542,0.2975,628.0,0.785,0.7175
0.41,129,89,111,471,0.5917,0.5375,0.286,644.0,0.805,0.7275
0.42,127,83,113,477,0.6048,0.5292,0.2816,648.0,0.81,0.7375
0.43,123,79,117,481,0.6089,0.5125,0.2703,664.0,0.83,0.7475
0.44,122,75,118,485,0.6193,0.5083,0.2684,665.0,0.8313,0.7538
0.45,121,71,119,489,0.6302,0.5042,0.2665,666.0,0.8325,0.76
0.46,118,69,122,491,0.631,0.4917,0.2579,679.0,0.8488,0.7662
0.47,118,67,122,493,0.6378,0.4917,0.2585,677.0,0.8462,0.7688
0.48,117,63,123,497,0.65,0.4875,0.2566,678.0,0.8475,0.775
0.49,117,61,123,499,0.6573,0.4875,0.2571,676.0,0.845,0.7775
0.5,116,56,124,504,0.6744,0.4833,0.2555,676.0,0.845,0.785
0.51,115,54,125,506,0.6805,0.4792,0.253,679.0,0.8488,0.7887
0.52,113,54,127,506,0.6766,0.4708,0.247,689.0,0.8612,0.7913
0.53,110,52,130,508,0.679,0.4583,0.2386,702.0,0.8775,0.7975
0.54,105,50,135,510,0.6774,0.4375,0.2246,725.0,0.9062,0.8063
0.55,104,49,136,511,0.6797,0.4333,0.222,729.0,0.9113,0.8087
0.56,102,48,138,512,0.68,0.425,0.2166,738.0,0.9225,0.8125
0.57,97,46,143,514,0.6783,0.4042,0.2031,761.0,0.9513,0.8213
0.58,96,42,144,518,0.6957,0.4,0.2013,762.0,0.9525,0.8275
0.59,95,40,145,520,0.7037,0.3958,0.199,765.0,0.9563,0.8313
0.6,91,36,149,524,0.7165,0.3792,0.189,781.0,0.9762,0.8413
0.61,89,36,151,524,0.712,0.3708,0.1837,791.0,0.9888,0.8438
0.62,83,34,157,526,0.7094,0.3458,0.1685,819.0,1.0237,0.8538
0.63,78,34,162,526,0.6964,0.325,0.156,844.0,1.055,0.86
0.64,74,33,166,527,0.6916,0.3083,0.1464,863.0,1.0788,0.8662
0.65,71,30,169,530,0.703,0.2958,0.1396,875.0,1.0938,0.8738
0.66,68,29,172,531,0.701,0.2833,0.1327,889.0,1.1113,0.8788
0.67,65,29,175,531,0.6915,0.2708,0.1257,904.0,1.13,0.8825
0.68,59,29,181,531,0.6705,0.2458,0.1122,934.0,1.1675,0.89
0.69,56,28,184,532,0.6667,0.2333,0.1057,948.0,1.185,0.895
0.7,55,26,185,534,0.679,0.2292,0.1037,951.0,1.1887,0.8988
0.71,50,24,190,536,0.6757,0.2083,0.0931,974.0,1.2175,0.9075
0.72,44,22,196,538,0.6667,0.1833,0.0807,1002.0,1.2525,0.9175
0.73,41,22,199,538,0.6508,0.1708,0.0746,1017.0,1.2712,0.9213
0.74,39,22,201,538,0.6393,0.1625,0.0706,1027.0,1.2837,0.9237
0.75,36,19,204,541,0.6545,0.15,0.0648,1039.0,1.2988,0.9313
0.76,34,17,206,543,0.6667,0.1417,0.061,1047.0,1.3088,0.9363
0.77,32,16,208,544,0.6667,0.1333,0.0571,1056.0,1.32,0.94
0.78,26,14,214,546,0.65,0.1083,0.0458,1084.0,1.355,0.95
0.79,24,14,216,546,0.6316,0.1,0.042,1094.0,1.3675,0.9525
0.8,24,13,216,547,0.6486,0.1,0.0421,1093.0,1.3662,0.9537
0.81,21,12,219,548,0.6364,0.0875,0.0366,1107.0,1.3838,0.9587
0.82,16,10,224,550,0.6154,0.0667,0.0275,1130.0,1.4125,0.9675
0.83,15,9,225,551,0.625,0.0625,0.0258,1134.0,1.4175,0.97
0.84,15,6,225,554,0.7143,0.0625,0.0258,1131.0,1.4138,0.9738
0.85,12,5,228,555,0.7059,0.05,0.0205,1145.0,1.4312,0.9788
0.86,10,5,230,555,0.6667,0.0417,0.017,1155.0,1.4438,0.9812
0.87,10,5,230,555,0.6667,0.0417,0.017,1155.0,1.4438,0.9812
0.88,9,5,231,555,0.6429,0.0375,0.0153,1160.0,1.45,0.9825
0.89,8,4,232,556,0.6667,0.0333,0.0136,1164.0,1.455,0.985
0.9,6,4,234,556,0.6,0.025,0.0101,1174.0,1.4675,0.9875
0.91,5,4,235,556,0.5556,0.0208,0.0084,1179.0,1.4737,0.9888
0.92,2,4,238,556,0.3333,0.0083,0.0033,1194.0,1.4925,0.9925
0.93,1,3,239,557,0.25,0.0042,0.0017,1198.0,1.4975,0.995
0.94,0,1,240,559,0.0,0.0,0.0,1201.0,1.5012,0.9988
0.95,0,0,240,560,0.0,0.0,0.0,1200.0,1.5,1.0
